peak_index,prev_sharpness_preonly,prev_depth,prev_sharpness,sum_depth_preonly,sum_sharpness_preonly,next_depth,sum_sharpness,sum_depth,next_sharpness,next_sharpness_preonly,next_depth_preonly,prev_depth_preonly
50,0.000000,107.999963,93.999967,117.000000,40.000000,92.000012,102.999978,98.000007,90.000005,105.000000,127.000000,0.000000
57,94.000000,108.000001,94.000000,98.000000,103.000000,91.999999,102.999999,98.000001,89.999998,90.000000,92.000000,108.000000
71,104.000000,81.401339,86.812669,118.000000,55.000000,80.337996,50.258667,89.552003,37.001998,21.000000,43.000000,130.000000
79,75.049321,48.149171,75.053003,70.081635,47.013606,105.890905,47.023607,70.087803,47.963350,47.954080,105.892854,48.139459
91,105.000000,82.500000,77.500000,120.000000,128.000000,111.500000,129.000000,126.000000,127.000000,123.000000,90.000000,127.000000
103,50.135994,8.000009,8.000013,131.970329,129.995055,83.000015,90.000012,34.000030,118.000004,130.980219,132.893677,38.220063
105,8.000000,8.000000,8.000000,34.000000,90.000000,83.000000,90.000000,34.000000,118.000000,118.000000,83.000000,8.000000
122,109.000000,97.154661,78.449995,130.000000,120.000000,96.996004,100.040663,129.592667,104.814667,104.000000,75.000000,133.000000
140,34.000150,58.491603,50.490743,129.000002,71.000098,26.794724,17.336028,20.872063,29.784669,105.999996,128.999892,45.000176
143,51.000000,56.762786,52.641514,21.000000,17.000000,28.854654,21.452996,20.419988,31.604746,29.000000,26.000000,59.000000
146,41.462607,59.516748,77.941688,19.265928,19.601107,20.944708,37.036714,21.073587,22.572681,40.271465,37.271465,52.063714
148,98.051685,64.836264,97.562577,21.915806,46.775156,13.990964,48.488909,24.111967,15.485298,12.905767,12.078943,63.387618
154,84.087017,104.391841,87.092102,84.843714,95.900129,70.161037,100.633345,85.710478,91.920877,86.787798,66.838018,104.906071
159,107.701641,68.710051,82.259007,92.900546,128.589754,98.760328,130.055552,79.504593,128.185173,121.564890,88.726502,105.987568
161,82.413391,47.051868,62.014085,73.264680,130.452543,103.018394,128.965003,73.073064,129.640630,130.029687,99.956720,62.148394
163,54.478488,37.988600,52.747057,79.645151,133.045805,96.002432,122.073228,62.820263,120.089638,133.318937,109.821548,39.642722
165,31.304359,46.396983,69.914356,57.330997,119.098880,76.457434,111.802595,50.789372,95.220974,129.014923,99.967830,26.800678
167,95.237478,64.715405,92.878621,44.106942,108.135070,52.063001,93.817028,47.438654,62.428418,73.741767,61.144126,57.930829
171,86.699755,78.931598,74.998404,60.021774,44.201611,20.922723,35.472606,47.020825,23.447713,21.723668,19.510238,89.938422
174,60.743712,69.984394,65.551282,31.523965,24.553160,25.174751,29.943891,37.152878,28.105125,25.211089,22.343243,65.857830
179,96.502218,83.650149,110.896118,78.352776,63.476863,57.950985,92.000174,63.907613,66.417581,46.737737,43.737781,100.514739
181,114.529412,72.771208,110.280343,51.943903,94.684250,78.836942,107.789120,68.734796,91.418898,56.495279,50.571858,78.332648
183,129.326927,57.816110,88.243199,68.693122,123.570080,101.208297,108.857539,84.124040,110.607646,110.330886,87.247578,79.553252
190,33.077187,43.082556,44.273108,105.158656,89.324447,108.350032,88.125555,105.414636,101.572293,111.598669,120.421012,28.625742
198,103.000000,73.999430,69.999810,107.000000,82.000000,81.498005,81.001900,99.491164,78.002850,49.000000,45.000000,119.000000
204,40.130108,68.333446,66.959706,92.711388,80.094852,74.076920,90.229300,55.806502,93.795004,104.249299,114.537911,33.268329
207,68.987984,70.999443,68.985710,53.015047,90.995782,71.027998,90.984768,53.034413,92.999814,93.005134,71.017749,70.984243
218,63.000000,49.275339,27.270834,103.999998,62.000001,48.837885,21.152524,38.947486,37.724650,79.000001,97.999999,110.999998
221,12.634014,18.099718,11.341991,4.255597,2.745899,54.278176,5.872492,24.012757,33.298615,12.832921,13.069122,26.069122
226,10.151814,70.441686,72.259096,40.889931,8.469091,75.902296,76.406082,63.069066,78.306748,50.814008,89.627928,11.138057
230,99.965430,97.510142,103.456519,72.988685,106.962318,60.053435,100.769707,73.255522,75.923840,90.985607,70.009635,96.966638
234,112.383462,97.263306,105.076806,73.952574,85.090794,35.413087,78.455474,71.540460,38.325866,37.655849,34.754758,98.905147
