outcome,day,test,n_BP,n_IOBP,median_BP,median_IOBP,median_difference_IOBP_minus_BP,statistic,p_value,p_fdr_bh,fdr_0.05,nominal_significance,fdr_significance
Detected ROIs,1,Mann–Whitney U,5,5,1393.0,1611.0,218.0,11.0,0.8412698412698413,0.9600373482726424,False,ns,ns
Detected ROIs,2,Mann–Whitney U,5,5,1347.0,1243.0,-104.0,14.0,0.8412698412698413,0.9600373482726424,False,ns,ns
Detected ROIs,3,Mann–Whitney U,5,5,1310.0,1034.0,-276.0,17.0,0.42063492063492064,0.6375248015873016,False,ns,ns
Detected ROIs,4,Mann–Whitney U,5,5,1231.0,932.0,-299.0,19.0,0.2222222222222222,0.449074074074074,False,ns,ns
Detected ROIs,5,Mann–Whitney U,5,5,1324.0,897.0,-427.0,17.0,0.42063492063492064,0.6375248015873016,False,ns,ns
Detected ROIs,6,Mann–Whitney U,4,5,1119.5,927.0,-192.5,15.0,0.2857142857142857,0.5434173669467787,False,ns,ns
Detected ROIs,7,Mann–Whitney U,5,5,1179.0,782.0,-397.0,22.0,0.05555555555555555,0.1796296296296296,False,ns,ns
Detected ROIs,10,Mann–Whitney U,5,5,1225.0,736.0,-489.0,20.0,0.15079365079365079,0.37505087505087503,False,ns,ns
Detected ROIs,13,Mann–Whitney U,5,4,1191.0,820.0,-371.0,16.0,0.19047619047619047,0.449074074074074,False,ns,ns
Detected ROIs,21,Mann–Whitney U,5,5,531.0,799.0,268.0,8.0,0.42063492063492064,0.6375248015873016,False,ns,ns
Detected ROIs,28,Mann–Whitney U,5,5,330.0,704.0,374.0,2.0,0.031746031746031744,0.12599648286515014,False,*,ns
Active ROIs,1,Mann–Whitney U,5,5,33.0,41.0,8.0,9.0,0.5476190476190477,0.7551303037435542,False,ns,ns
Active ROIs,2,Mann–Whitney U,5,5,16.0,29.0,13.0,0.5,0.015970696353780123,0.08153460770087748,False,*,ns
Active ROIs,3,Mann–Whitney U,5,5,31.0,49.0,18.0,3.0,0.05555555555555555,0.1796296296296296,False,ns,ns
Active ROIs,4,Mann–Whitney U,5,5,58.0,65.0,7.0,8.0,0.42063492063492064,0.6375248015873016,False,ns,ns
Active ROIs,5,Mann–Whitney U,5,5,277.0,204.0,-73.0,17.0,0.42063492063492064,0.6375248015873016,False,ns,ns
Active ROIs,6,Mann–Whitney U,4,5,228.5,207.0,-21.5,10.0,1.0,1.0,False,ns,ns
Active ROIs,7,Mann–Whitney U,5,5,545.0,286.0,-259.0,22.0,0.05555555555555555,0.1796296296296296,False,ns,ns
Active ROIs,10,Mann–Whitney U,5,5,496.0,345.0,-151.0,19.0,0.2222222222222222,0.449074074074074,False,ns,ns
Active ROIs,13,Mann–Whitney U,5,4,457.0,480.0,23.0,10.0,1.0,1.0,False,ns,ns
Active ROIs,21,Mann–Whitney U,5,5,1.0,505.0,504.0,0.0,0.011667312343319386,0.08153460770087748,False,*,ns
Active ROIs,28,Mann–Whitney U,5,5,2.0,583.0,581.0,0.0,0.011925233593017602,0.08153460770087748,False,*,ns
Active / detected,1,Mann–Whitney U,5,5,0.024407753050969132,0.03243670886075949,0.00802895580979036,8.0,0.42063492063492064,0.6375248015873016,False,ns,ns
Active / detected,2,Mann–Whitney U,5,5,0.015590200445434299,0.025416301489921123,0.009826101044486824,6.0,0.2222222222222222,0.449074074074074,False,ns,ns
Active / detected,3,Mann–Whitney U,5,5,0.025954198473282442,0.05029013539651837,0.02433593692323593,1.0,0.015873015873015872,0.08153460770087748,False,*,ns
Active / detected,4,Mann–Whitney U,5,5,0.047619047619047616,0.07586206896551724,0.028243021346469624,5.0,0.15079365079365079,0.37505087505087503,False,ns,ns
Active / detected,5,Mann–Whitney U,5,5,0.2083058668424522,0.23943661971830985,0.031130752875857648,13.0,1.0,1.0,False,ns,ns
Active / detected,6,Mann–Whitney U,4,5,0.23902986984990973,0.2720105124835742,0.032980642633664486,6.0,0.4126984126984127,0.6375248015873016,False,ns,ns
Active / detected,7,Mann–Whitney U,5,5,0.46329723225030084,0.45454545454545453,-0.008751777704846309,17.0,0.42063492063492064,0.6375248015873016,False,ns,ns
Active / detected,10,Mann–Whitney U,5,5,0.4048979591836735,0.5039936102236422,0.0990956510399687,11.0,0.8412698412698413,0.9600373482726424,False,ns,ns
Active / detected,13,Mann–Whitney U,5,4,0.4681933842239186,0.6228363672880644,0.15464298306414576,0.0,0.015873015873015872,0.08153460770087748,False,*,ns
Active / detected,21,Mann–Whitney U,5,5,0.0012453300124533001,0.6320400500625782,0.6307947200501249,0.0,0.011925233593017602,0.08153460770087748,False,*,ns
Active / detected,28,Mann–Whitney U,5,5,0.006514657980456026,0.7916666666666666,0.7851520086862106,0.0,0.007936507936507936,0.08153460770087748,False,**,ns
Mean spike rate (Hz),1,Mann–Whitney U,5,5,0.0573970440522313,0.062106210621062106,0.00470916656883081,8.0,0.42063492063492064,0.6375248015873016,False,ns,ns
Mean spike rate (Hz),2,Mann–Whitney U,5,5,0.047854785478547844,0.06384567028131384,0.015990884802765996,7.0,0.30952380952380953,0.5664869721473496,False,ns,ns
Mean spike rate (Hz),3,Mann–Whitney U,5,5,0.06121579899925477,0.06617498484542331,0.004959185846168536,9.0,0.5476190476190477,0.7551303037435542,False,ns,ns
Mean spike rate (Hz),4,Mann–Whitney U,5,5,0.07222150786507221,0.07065866161084193,-0.0015628462542302823,14.0,0.8412698412698413,0.9600373482726424,False,ns,ns
Mean spike rate (Hz),5,Mann–Whitney U,5,5,0.07445716638702977,0.07494499449944995,0.00048782811242018,14.0,0.8412698412698413,0.9600373482726424,False,ns,ns
Mean spike rate (Hz),6,Mann–Whitney U,4,5,0.07739699847447798,0.0760112243108369,-0.0013857741636410792,13.0,0.5555555555555556,0.7551303037435542,False,ns,ns
