group_id,method,number_neurons,neuron_indices,filtered_idxs,spike_rate,number_of_spikes,mean_combined,treatment,recording,day,recording_folder
1,combined,2,"[1227, 1256]","[15, 16]",0,0,0.6573641266610465,BP,1-1,1,1-1
1,combined,2,"[8, 9]","[6, 7]",0,0,0.6482139455049344,BP,1-1,10,1-1_Day10
17,combined,2,"[56, 136]","[39, 106]",0,0,0.6317562723879696,BP,1-1,10,1-1_Day10
132,combined,2,"[1143, 1147]","[850, 854]",0,0,0.8662252280324119,BP,1-1,10,1-1_Day10
238,combined,2,"[781, 844]","[590, 637]",0,0,0.6412635998495034,BP,1-1,10,1-1_Day10
246,combined,2,"[926, 934]","[701, 708]",0,0,0.7647986617323564,BP,1-1,10,1-1_Day10
260,combined,2,"[1554, 1582]","[1079, 1092]",0,0,0.687517379226352,BP,1-1,10,1-1_Day10
261,combined,2,"[1524, 1528]","[1063, 1065]",0,0,0.7620108464684056,BP,1-1,10,1-1_Day10
262,combined,8,"[1529, 1545, 1549, 1555, 1569, 1587, 1588, 1589]","[1066, 1075, 1077, 1080, 1087, 1095, 1096, 1097]",0,0,0.6854471930877383,BP,1-1,10,1-1_Day10
263,combined,2,"[1525, 1534]","[1064, 1069]",0,0,0.6232935377862824,BP,1-1,10,1-1_Day10
267,combined,3,"[1459, 1466, 1474]","[1033, 1039, 1043]",0,0,0.6463827861546142,BP,1-1,10,1-1_Day10
295,combined,2,"[1210, 1308]","[898, 957]",0,0,0.657791849025498,BP,1-1,10,1-1_Day10
317,combined,2,"[753, 974]","[570, 739]",0,0,0.6389184182500912,BP,1-1,10,1-1_Day10
319,combined,2,"[733, 739]","[558, 563]",0,0,0.580777126122016,BP,1-1,10,1-1_Day10
320,combined,2,"[798, 875]","[601, 661]",0,0,0.5607912025618537,BP,1-1,10,1-1_Day10
321,combined,4,"[870, 873, 973, 1104]","[656, 659, 738, 824]",0,0,0.6174521252980741,BP,1-1,10,1-1_Day10
323,combined,2,"[852, 887]","[644, 670]",0,0,0.6107790792978985,BP,1-1,10,1-1_Day10
324,combined,2,"[789, 791]","[594, 595]",0,0,0.6091874285166123,BP,1-1,10,1-1_Day10
330,combined,2,"[1005, 1173]","[760, 873]",0,0,0.5821692748744103,BP,1-1,10,1-1_Day10
332,combined,3,"[980, 981, 988]","[742, 743, 747]",0,0,0.6404925014951818,BP,1-1,10,1-1_Day10
337,combined,4,"[1035, 1112, 1146, 1158]","[780, 831, 853, 863]",0,0,0.5680005658584931,BP,1-1,10,1-1_Day10
339,combined,3,"[1080, 1082, 1170]","[810, 812, 872]",0,0,0.5687046412740091,BP,1-1,10,1-1_Day10
340,combined,4,"[1075, 1085, 1128, 1129]","[807, 814, 840, 841]",0,0,0.5739963211471232,BP,1-1,10,1-1_Day10
344,combined,2,"[1342, 1460]","[979, 1034]",0,0,0.5305073999782887,BP,1-1,10,1-1_Day10
345,combined,3,"[1353, 1354, 1539]","[983, 984, 1072]",0,0,0.6306213666943968,BP,1-1,10,1-1_Day10
346,combined,8,"[1265, 1324, 1337, 1338, 1359, 1363, 1419, 1425]","[932, 967, 974, 975, 987, 990, 1013, 1016]",0,0,0.6521247866548893,BP,1-1,10,1-1_Day10
347,combined,4,"[1142, 1161, 1167, 1188]","[849, 865, 870, 881]",0,0,0.8002547072913088,BP,1-1,10,1-1_Day10
407,combined,3,"[226, 298, 403]","[177, 237, 318]",0,0,0.5235468674076404,BP,1-1,10,1-1_Day10
409,combined,2,"[323, 371]","[258, 295]",0,0,0.5031847804348935,BP,1-1,10,1-1_Day10
413,combined,3,"[174, 232, 262]","[138, 181, 208]",0,0,0.593360981351309,BP,1-1,10,1-1_Day10
417,combined,2,"[148, 168]","[118, 133]",0,0,0.5184483046064149,BP,1-1,10,1-1_Day10
419,combined,2,"[206, 214]","[163, 170]",0,0,0.5455135346486625,BP,1-1,10,1-1_Day10
423,combined,10,"[37, 51, 58, 61, 74, 87, 92, 114, 119, 128]","[24, 35, 41, 44, 54, 63, 68, 88, 92, 100]",0,0,0.5824427587614462,BP,1-1,10,1-1_Day10
447,combined,5,"[675, 751, 820, 831, 837]","[509, 569, 617, 625, 630]",0,0,0.6107814570408983,BP,1-1,10,1-1_Day10
450,combined,2,"[572, 715]","[442, 544]",0,0,0.7659138908478016,BP,1-1,10,1-1_Day10
456,combined,3,"[84, 200, 224]","[61, 157, 175]",0,0,0.6081897603710936,BP,1-1,10,1-1_Day10
457,combined,2,"[47, 63]","[32, 46]",0,0,0.7297510750461774,BP,1-1,10,1-1_Day10
460,combined,2,"[71, 118]","[51, 91]",0,0,0.520223649773088,BP,1-1,10,1-1_Day10
461,combined,3,"[54, 194, 209]","[37, 153, 165]",0,0,0.7062155461438024,BP,1-1,10,1-1_Day10
462,combined,2,"[445, 505]","[344, 389]",0,0,0.5809642765655273,BP,1-1,10,1-1_Day10
463,combined,32,"[22, 33, 39, 60, 67, 95, 103, 110, 111, 122, 123, 124, 126, 132, 133, 134, 135, 138, 140, 142, 145, 156, 169, 176, 205, 213, 222, 277, 333, 339, 362, 400]","[13, 20, 26, 43, 48, 70, 78, 85, 86, 95, 96, 97, 99, 102, 103, 104, 105, 108, 110, 112, 115, 124, 134, 140, 162, 169, 174, 221, 264, 269, 287, 316]",0,0,0.6504771740248957,BP,1-1,10,1-1_Day10
467,combined,2,"[272, 492]","[217, 381]",0,0,0.5864982465498062,BP,1-1,10,1-1_Day10
469,combined,2,"[393, 440]","[311, 341]",0,0,0.503561596123433,BP,1-1,10,1-1_Day10
471,combined,2,"[203, 519]","[160, 401]",0,0,0.5586348597450488,BP,1-1,10,1-1_Day10
472,combined,2,"[566, 634]","[437, 484]",0,0,0.6112545331928181,BP,1-1,10,1-1_Day10
473,combined,20,"[453, 468, 480, 489, 501, 502, 526, 532, 538, 540, 541, 542, 543, 557, 581, 582, 596, 606, 623, 672]","[352, 366, 374, 378, 386, 387, 406, 411, 417, 419, 420, 421, 422, 431, 446, 447, 458, 463, 476, 507]",0,0,0.6036225006108965,BP,1-1,10,1-1_Day10
475,combined,2,"[215, 309]","[171, 248]",0,0,0.6102315784000223,BP,1-1,10,1-1_Day10
476,combined,3,"[246, 295, 332]","[193, 235, 263]",0,0,0.7212199798975486,BP,1-1,10,1-1_Day10
477,combined,3,"[166, 242, 294]","[131, 190, 234]",0,0,0.6235471612230233,BP,1-1,10,1-1_Day10
478,combined,14,"[199, 211, 217, 259, 260, 293, 343, 350, 354, 367, 374, 377, 461, 707]","[156, 167, 172, 205, 206, 233, 271, 277, 280, 292, 297, 300, 359, 536]",0,0,0.6221115761906839,BP,1-1,10,1-1_Day10
481,combined,2,"[250, 387]","[196, 307]",0,0,0.6530272344221363,BP,1-1,10,1-1_Day10
486,combined,5,"[153, 167, 288, 308, 380]","[122, 132, 229, 247, 303]",0,0,0.5522615697289501,BP,1-1,10,1-1_Day10
487,combined,8,"[335, 375, 413, 425, 435, 455, 477, 494]","[266, 298, 322, 328, 336, 354, 372, 382]",0,0,0.6542905750228664,BP,1-1,10,1-1_Day10
488,combined,4,"[212, 353, 357, 390]","[168, 279, 283, 310]",0,0,0.605617968786975,BP,1-1,10,1-1_Day10
510,combined,2,"[902, 938]","[682, 712]",0,0,0.5277598223240317,BP,1-1,10,1-1_Day10
511,combined,2,"[465, 564]","[363, 435]",0,0,0.5148694982161872,BP,1-1,10,1-1_Day10
512,combined,3,"[617, 664, 681]","[471, 501, 514]",0,0,0.6144578379829283,BP,1-1,10,1-1_Day10
516,combined,2,"[569, 587]","[439, 450]",0,0,0.6177112652122134,BP,1-1,10,1-1_Day10
519,combined,2,"[717, 728]","[545, 553]",0,0,0.5800883079832232,BP,1-1,10,1-1_Day10
520,combined,11,"[676, 682, 703, 706, 713, 719, 727, 746, 761, 821, 840]","[510, 515, 532, 535, 542, 547, 552, 568, 576, 618, 633]",0,0,0.579515647921758,BP,1-1,10,1-1_Day10
534,combined,2,"[593, 612]","[456, 468]",0,0,0.5558584280311869,BP,1-1,10,1-1_Day10
552,combined,2,"[856, 942]","[648, 715]",0,0,0.509530807097208,BP,1-1,10,1-1_Day10
553,combined,2,"[1008, 1020]","[762, 770]",0,0,0.6693298348095489,BP,1-1,10,1-1_Day10
554,combined,4,"[920, 967, 987, 1059]","[696, 734, 746, 796]",0,0,0.6230650562130766,BP,1-1,10,1-1_Day10
564,combined,2,"[1098, 1122]","[822, 837]",0,0,0.5226219580645205,BP,1-1,10,1-1_Day10
604,combined,2,"[1, 21]","[1, 12]",0,0,0.5162693390699947,BP,1-1,10,1-1_Day10
605,combined,6,"[20, 43, 89, 98, 100, 112]","[11, 29, 65, 73, 75, 87]",0,0,0.5842545559099114,BP,1-1,10,1-1_Day10
606,combined,2,"[34, 72]","[21, 52]",0,0,0.6697916475311471,BP,1-1,10,1-1_Day10
622,combined,7,"[197, 239, 244, 251, 267, 285, 318]","[155, 187, 192, 197, 213, 226, 253]",0,0,0.5437587318527805,BP,1-1,10,1-1_Day10
623,combined,3,"[146, 243, 265]","[116, 191, 211]",0,0,0.5416711844333167,BP,1-1,10,1-1_Day10
630,combined,2,"[685, 1333]","[518, 972]",0,0,0.5453418287736914,BP,1-1,10,1-1_Day10
650,combined,4,"[499, 500, 517, 584]","[384, 385, 399, 448]",0,0,0.5253589976535896,BP,1-1,10,1-1_Day10
656,combined,2,"[349, 370]","[276, 294]",0,0,0.7013800957381825,BP,1-1,10,1-1_Day10
681,combined,4,"[1027, 1045, 1196, 1248]","[775, 786, 888, 922]",0,0,0.5635564138366207,BP,1-1,10,1-1_Day10
684,combined,2,"[1238, 1239]","[916, 917]",0,0,0.6368656711510601,BP,1-1,10,1-1_Day10
688,combined,2,"[1145, 1307]","[852, 956]",0,0,0.7615779945881413,BP,1-1,10,1-1_Day10
689,combined,2,"[1183, 1219]","[877, 903]",0,0,0.594647041018514,BP,1-1,10,1-1_Day10
691,combined,2,"[1000, 1111]","[755, 830]",0,0,0.8234517367609411,BP,1-1,10,1-1_Day10
692,combined,7,"[1177, 1271, 1276, 1278, 1292, 1300, 1319]","[874, 936, 940, 941, 947, 951, 963]",0,0,0.688491213546529,BP,1-1,10,1-1_Day10
708,combined,2,"[1094, 1206]","[819, 895]",0,0,0.743630278421238,BP,1-1,10,1-1_Day10
722,combined,2,"[1259, 1294]","[928, 948]",0,0,0.5027028460300411,BP,1-1,10,1-1_Day10
723,combined,2,"[1431, 1479]","[1017, 1045]",0,0,0.5354463684125784,BP,1-1,10,1-1_Day10
724,combined,2,"[1422, 1462]","[1014, 1035]",0,0,0.5963806767086417,BP,1-1,10,1-1_Day10
