day,treatment,n_recordings,detected_roi_mean,detected_roi_sd,active_roi_mean,active_roi_sd,active_fraction_mean,active_fraction_sd,spike_rate_mean_hz,spike_rate_sd_hz,group_count_mean,group_count_sd,group_size_mean,group_size_sd,fraction_grouped_mean,fraction_grouped_sd,groups_per_1000_detected_mean,groups_per_1000_detected_sd,fraction_detected_grouped_mean,fraction_detected_grouped_sd
1,BP,5,1518.4,461.1662390071502,32.2,9.67987603226405,0.022252003984791095,0.006616251730511007,0.05964187524482437,0.00706568681536734,1.6,1.3416407864998738,2.0,0.0,0.09032692380627298,0.06885619875585267,1.0833472068257333,1.042968448262674,0.0021666944136514666,0.002085936896525348
1,IOBP,5,1551.6,185.55403525657965,42.8,16.9617216107328,0.0282319030428681,0.011765553901837075,0.06239407477333099,0.006523760211198897,3.4,2.3021728866442674,2.2333333333333334,0.4346134936801766,0.15731984478935698,0.06539883493291032,2.3000597828721934,1.6081133752293633,0.004851355350881707,0.0032640030357149333
2,BP,5,1119.8,686.102543356312,14.0,6.442049363362563,0.025557896574153065,0.030416259016001767,0.0521533998637959,0.007708780064344616,0.8,0.8366600265340756,2.0,0.0,0.12126984126984128,0.1642285768288087,3.4025776066344093,6.908996645107416,0.006805155213268818,0.013817993290214832
2,IOBP,5,1183.6,277.4433275463658,31.2,8.043631020876083,0.027437109953479734,0.00847689051328348,0.06103217054053517,0.009012961962542325,0.6,0.5477225575051662,2.0,0.0,0.04444444444444444,0.04295990032610907,0.557191849555066,0.5703004388029922,0.0011143836991101318,0.0011406008776059845
3,BP,5,1311.8,437.69190077039354,30.8,9.093954035511725,0.024879376695527505,0.00870775397072144,0.06562526131558112,0.01683339043444055,2.0,2.0,2.0,0.0,0.1650685080233644,0.2238504778904555,1.6893617522471587,2.0893982386357783,0.003378723504494317,0.004178796477271558
3,IOBP,5,1048.4,273.79974433881415,51.0,21.27204738618265,0.048802129808942475,0.014388237096175432,0.0647973209755717,0.006715332838062092,2.4,3.2093613071762426,2.0,0.0,0.07265671205870541,0.07004784358225527,2.0508148764623857,2.1357598223737857,0.004101629752924772,0.004271519644747571
4,BP,5,1312.2,407.9849261921328,57.6,32.69250678672408,0.05008777630065545,0.03477789962799975,0.07234349627524181,0.006776746775910062,3.0,2.23606797749979,2.1458333333333335,0.17179606773406925,0.09886313754528162,0.055900110546415194,2.69695096349359,2.198092726142837,0.005750416635738709,0.004515527791867448
4,IOBP,5,1004.4,274.57476213228335,77.2,23.509572518444482,0.07726447432638738,0.014549615137292414,0.07105243451384505,0.007570074558349838,2.2,0.8366600265340756,2.0,0.0,0.05823214486148417,0.022513161655044526,2.1681017537917198,0.5859951729881117,0.00433620350758344,0.0011719903459762233
5,BP,5,1267.4,378.9410244352015,291.4,153.38937381709334,0.2262923864956262,0.0775499572688582,0.07437571198766738,0.003531529602377893,26.2,14.956603892595403,2.1241572153336863,0.06181927511831902,0.18923834925405353,0.014874422941744871,20.009323450463274,6.725104996838739,0.042827377751750426,0.015603259984569053
5,IOBP,5,953.2,415.67499323389666,201.8,134.63543367182356,0.214026907990446,0.09764663295593361,0.06803116575657817,0.015336680471241418,15.4,15.142654985173506,2.0285714285714285,0.06388765649999398,0.1599366042638938,0.07295353943801541,14.897850243122367,8.116944642297796,0.03055567515375581,0.017632081173965766
