treatment,recording,day,recording_folder,metrics_path,detected_roi_count,active_roi_count,inactive_roi_count,classifier_accounted_roi_count,suite2p_roi_count,roi_accounting_difference,active_fraction,mean_spike_rate_hz,median_spike_rate_hz,zero_spike_active_fraction,n_groups,mean_group_size,median_group_size,grouped_active_count,fraction_active_grouped,groups_per_1000_detected_rois,fraction_detected_rois_grouped
BP,1-1,1,1-1,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\BP\1-1\metrics\1-1_metrics.xlsx,2102,24,2078,2102,2102.0,0,0.011417697431018078,0.07081958195819583,0.07425742574257425,0.0,1,2.0,2.0,2,0.08333333333333333,0.47573739295908657,0.0009514747859181732
BP,1-2,1,1-2,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\BP\1-2\metrics\1-2_metrics.xlsx,1136,33,1103,1136,1136.0,0,0.029049295774647887,0.06175617561756176,0.0495049504950495,0.0,3,2.0,2.0,6,0.18181818181818182,2.640845070422535,0.00528169014084507
BP,1-3,1,1-3,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\BP\1-3\metrics\1-3_metrics.xlsx,1393,34,1359,1393,1393.0,0,0.024407753050969132,0.055571733643952625,0.04125412541254125,0.0,1,2.0,2.0,2,0.058823529411764705,0.7178750897343862,0.0014357501794687725
BP,1-4,1,1-4,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\BP\1-4\metrics\1-4_metrics.xlsx,1065,23,1042,1065,1065.0,0,0.0215962441314554,0.0573970440522313,0.05775577557755775,0.0,0,,,0,0.0,0.0,0.0
BP,1-5,1,1-5,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\BP\1-5\metrics\1-5_metrics.xlsx,1896,47,1849,1896,1896.0,0,0.024789029535864978,0.052664840952180325,0.0495049504950495,0.0,3,2.0,2.0,6,0.1276595744680851,1.5822784810126582,0.0031645569620253164
IOBP,1-1,1,1-1,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\IOBP\1-1\metrics\1-1_metrics.xlsx,1611,64,1547,1611,1611.0,0,0.03972687771570453,0.0719368811881188,0.07425742574257425,0.0,5,2.0,2.0,10,0.15625,3.1036623215394163,0.006207324643078833
IOBP,1-2,1,1-2,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\IOBP\1-2\metrics\1-2_metrics.xlsx,1264,41,1223,1264,1264.0,0,0.03243670886075949,0.06318924575384369,0.05775577557755775,0.0,4,2.0,2.0,8,0.1951219512195122,3.1645569620253164,0.006329113924050633
IOBP,1-3,1,1-3,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\IOBP\1-3\metrics\1-3_metrics.xlsx,1724,22,1702,1724,1724.0,0,0.012761020881670533,0.053630363036303634,0.045379537953795374,0.0,1,3.0,3.0,3,0.13636363636363635,0.580046403712297,0.0017401392111368909
IOBP,1-4,1,1-4,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\IOBP\1-4\metrics\1-4_metrics.xlsx,1479,55,1424,1479,1479.0,0,0.03718728870858688,0.062106210621062106,0.05775577557755775,0.0,6,2.1666666666666665,2.0,13,0.23636363636363636,4.056795131845842,0.00878972278566599
IOBP,1-5,1,1-5,C:\Users\mzinn1\Desktop\DailyRecordings_LateTimepoints\IOBP\1-5\metrics\1-5_metrics.xlsx,1680,32,1648,1680,1680.0,0,0.01904761904761905,0.06110767326732673,0.066006600660066,0.0,1,2.0,2.0,2,0.0625,0.5952380952380952,0.0011904761904761906
