,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
derivative_skew,0.42295224519655134,-0.09004563808086985,0.14604722772391182,-0.1857506535946431,-0.141124745520907,0.1561221218232866,0.153950767693524,0.2605324157808184,0.788215146117673,0.004321744192200015
derivative_asymmetry,0.19499707201652194,0.0735015266667517,0.6094535553608528,-0.44045727883229613,-0.17595967482906177,-0.3928720057076584,-0.41211478608968444,0.009388864292053857,-0.1892039816018605,-0.010114469296963607
spike_prom_mean,0.3052372447896511,0.48853645777357146,-0.2955666423164979,0.14998354733566802,-0.3469407906810432,-0.04840026011336611,-0.11793354577898553,0.25604417544676855,-0.13518317583669928,0.5812535762046463
spike_prom_skew,0.3389668087850611,-0.31914324526048504,0.14039107896569636,-0.09616854668148994,-0.2404246717868184,0.698269751509617,0.015018268933946812,-0.23156872629766154,-0.3754190255126968,0.1188162881418058
range_trace,0.4329757708237869,-0.053001055152242016,-0.10053838430167474,0.059067480937885865,0.09456163712714839,-0.12687738031261195,0.27083987466968606,0.5529859516535396,-0.3968029333533961,-0.484237436392188
var_of_var,0.2551963228798339,0.13848264784464082,0.4081661859151965,0.3137082639271167,0.7355435450485917,0.0940042384851132,0.010307132172793772,0.010175633869469628,-0.01685536127112811,0.3167489473323559
ac_decay,-0.25231720200662733,0.3923896093826716,0.474352994389213,0.07945005557741203,-0.29387962844935395,0.05564876851499293,0.6744473663766926,-0.02436993376685361,-0.07616893116171256,-0.01750651848466396
snr_estimate,0.09441363477219965,-0.4096522301136996,0.22456960717567812,0.7406929887208608,-0.3573062865783236,-0.2813376921113054,-0.09865354367065124,-0.057895940955149154,0.06562729247286674,0.0018496806777754924
peak_density,-0.3726607150155197,0.1755805516358891,0.20854374761622146,0.19815174248914247,-0.07146486590867565,0.4631199408612895,-0.4627669249295895,0.5165430245847841,0.0443696797173778,-0.21216728172161614
median_spike_prom,0.33312486009963826,0.5209312681805858,-0.06728229754813454,0.2089168645349166,-0.042937263646396245,0.09844699388513073,-0.20025289362780957,-0.485996377174237,0.11785929678731254,-0.5174604762476589
