,derivative_skew,derivative_asymmetry,spike_prom_mean,spike_prom_skew,range_trace,var_of_var,ac_decay,snr_estimate,peak_density,median_spike_prom
derivative_skew,1.0,0.09749288245374749,0.6805190625908618,0.42002521518867225,0.7284363008988981,0.8183291663096363,-0.4714395221320835,-0.17428728170097585,-0.6437370311551495,0.5869116924443247
derivative_asymmetry,0.09749288245374749,1.0,0.13439873531154775,0.039341314653763115,-0.08223446392480045,0.09602412423766502,0.22174344886717498,-0.17142225575349843,-0.07359876700736669,0.018106424241111464
spike_prom_mean,0.6805190625908618,0.13439873531154775,1.0,0.23778896486246995,0.7134198395461658,0.7971267862853825,-0.310860145118787,-0.20019659737062787,-0.5887235588160051,0.8648380169054127
spike_prom_skew,0.42002521518867225,0.039341314653763115,0.23778896486246995,1.0,0.4386642792894578,0.42336409221561516,-0.46818594834297894,-0.03863720958067301,-0.30356224525585646,0.18485652261662774
range_trace,0.7284363008988981,-0.08223446392480045,0.7134198395461658,0.4386642792894578,1.0,0.9025303984204632,-0.7280088610972391,-0.12722884332791967,-0.6856987166254027,0.6375286752408151
var_of_var,0.8183291663096363,0.09602412423766502,0.7971267862853825,0.42336409221561516,0.9025303984204632,1.0,-0.4743524003410174,-0.19458465483859402,-0.6530725291314631,0.6854387391130787
ac_decay,-0.4714395221320835,0.22174344886717498,-0.310860145118787,-0.46818594834297894,-0.7280088610972391,-0.4743524003410174,1.0,0.038849869640524726,0.6100034902274609,-0.2659867660360668
snr_estimate,-0.17428728170097585,-0.17142225575349843,-0.20019659737062787,-0.03863720958067301,-0.12722884332791967,-0.19458465483859402,0.038849869640524726,1.0,0.18095290982434567,-0.11269885638837528
peak_density,-0.6437370311551495,-0.07359876700736669,-0.5887235588160051,-0.30356224525585646,-0.6856987166254027,-0.6530725291314631,0.6100034902274609,0.18095290982434567,1.0,-0.5409134338169775
median_spike_prom,0.5869116924443247,0.018106424241111464,0.8648380169054127,0.18485652261662774,0.6375286752408151,0.6854387391130787,-0.2659867660360668,-0.11269885638837528,-0.5409134338169775,1.0
