,cluster_size,decay_biphasic_ratio,decay_curvature,decay_kurtosis,decay_linearity,decay_r2,decay_residual_std,decay_skew,decay_tau,dist_aai_sum,dist_aai_trapz,dist_skew,distance,dominance_score,iso_aai_sum,iso_aai_trapz,iso_skew,isolation,local_rank,local_rank_norm,prom_gap,rise_slope,spike_prom,time_to_parent
cluster_size,0.0,0.017780193238878805,0.027305304453817847,0.023862949121213672,0.0,0.0,0.0,0.0,0.10853282795806574,0.046625251601863704,0.014160203593702958,0.018867773946517286,0.08151745311902148,0.047419847804689885,0.0,0.0,0.0,0.00273778264743485,0.29772358420539846,0.0,0.04715718679477465,0.0020974358490786216,0.09310620800992808,0.08012294788060514
decay_biphasic_ratio,0.017780193238878805,0.0,0.09806173548366348,0.14284828098374414,0.08186733623253661,0.1599054271831215,0.07899379567102205,0.26084123212639954,0.14577157182562117,0.09293177985803291,0.0805303146604801,0.012070310176408805,0.03335693746250845,0.03148946613196135,0.18110626944142805,0.14892229656692146,0.05737166591832721,0.06563506996734536,0.0,0.021494111253622217,0.030588548154613093,0.031412408443529216,0.0201587052794705,0.0
decay_curvature,0.027305304453817847,0.09806173548366348,0.0,0.339399293273426,0.3280500358496481,0.36573502419134085,0.34141126142849654,0.259104315508343,0.35290111975881744,0.03350279799861422,0.05814665172758393,0.02084102014092548,0.1435000481514137,0.1099292064562214,0.1683860482855215,0.17478431969159902,0.011361154976720966,0.05326561896896398,0.06867196962200128,0.08852384413554559,0.1086579108113177,0.12056974645969132,0.16764045547056972,0.0
decay_kurtosis,0.023862949121213672,0.14284828098374414,0.339399293273426,0.0,0.37695692868048214,0.38705261971397653,0.3674445163096114,0.5081203390958222,0.3621327461381765,0.10986404685183326,0.12222713803075136,0.0,0.060299432429835376,0.11537140955906922,0.1273124307879121,0.17440990378461896,0.0,0.09639051527113995,0.07143565728307144,0.08276594429957429,0.11564068560151552,0.11537793858073697,0.06163024230775482,0.0
decay_linearity,0.0,0.08186733623253661,0.3280500358496481,0.37695692868048214,0.0,0.5318548607116327,3.671960780888229,0.34315583279725836,0.34053546426146597,0.1806566657757145,0.17909285029472644,0.004983369939864479,0.07812661647486419,0.14431485150657486,0.17706816337117437,0.16827006579196002,0.02199153459780745,0.08309986334428077,0.06935067039645393,0.13558685967049633,0.14216732018256906,0.1641054736889489,0.17216877231436056,0.02989854320408525
decay_r2,0.0,0.1599054271831215,0.36573502419134085,0.38705261971397653,0.5318548607116327,0.0,0.5668531373793972,0.340407738776483,0.4517462813712658,0.06708883508442032,0.06953068173972654,0.0004778941982941376,0.05557051494709642,0.07534483261678493,0.18233142894410093,0.17493277015011288,0.0077036295644035135,0.0641736518513536,0.09100107568175497,0.03162331228945403,0.07309729659782449,0.10704072097789852,0.13052870823393792,0.03266323987156472
decay_residual_std,0.0,0.07899379567102205,0.34141126142849654,0.3674445163096114,3.671960780888229,0.5668531373793972,0.0,0.3529794885511597,0.3506165457419945,0.17913226528257042,0.18482673500504654,0.04071479969386438,0.08616897684670044,0.15827047689645957,0.19086703072610156,0.2157151893221556,0.03061189135408493,0.0681026238552298,0.0643709798662202,0.12103366531181248,0.15714608615627013,0.13234063482262903,0.18271730543896103,0.038426801896062734
decay_skew,0.0,0.26084123212639954,0.259104315508343,0.5081203390958222,0.34315583279725836,0.340407738776483,0.3529794885511597,0.0,0.30551468449113695,0.002298538258271199,0.0036554504900179197,0.04540154026962839,0.030343104982869518,0.09898545771666467,0.17108533076139754,0.1481466776337954,0.022082313839257406,0.12167256811679539,0.02032292163133098,0.08631278948095011,0.0979241912751847,0.09498735190774044,0.1377777623201435,0.0013433490460208475
decay_tau,0.10853282795806574,0.14577157182562117,0.35290111975881744,0.3621327461381765,0.34053546426146597,0.4517462813712658,0.3506165457419945,0.30551468449113695,0.0,0.12425556585566944,0.10123655880770444,0.0,0.24047668443637393,0.15027809518176238,0.1570303832041373,0.15820756523248636,0.0004939221240498615,0.18211527032907182,0.16329480991078094,0.11073300767354799,0.14982822619283698,0.18303063714749257,0.2519677271084899,0.022701269236193644
dist_aai_sum,0.046625251601863704,0.09293177985803291,0.03350279799861422,0.10986404685183326,0.1806566657757145,0.06708883508442032,0.17913226528257042,0.002298538258271199,0.12425556585566944,0.0,3.469112163329441,0.10452961261814453,0.3332493119892683,0.25740115535185315,1.5096983838453455,1.074399294291568,0.08072828002682897,0.08978296663150287,0.04130081111995909,0.18633249883064273,0.2562485273451818,0.1663058239907118,0.2511988264981231,0.027049190666986966
