,cluster_size,decay_biphasic_ratio,decay_curvature,decay_kurtosis,decay_linearity,decay_r2,decay_residual_std,decay_skew,decay_tau,dist_aai_sum,dist_aai_trapz,dist_skew,distance,dominance_score,iso_aai_sum,iso_aai_trapz,iso_skew,isolation,local_rank,local_rank_norm,prom_gap,rise_slope,spike_prom,time_to_parent
cluster_size,1.0,0.033254991670906855,-0.02824039993004614,0.04959645741052845,-0.06821966404911081,-0.13170143503905266,0.07071182094436922,-0.06977220371853786,-0.11174742049663963,-0.13140311305348337,-0.1273148942270893,-0.049703258077284034,-0.31133442528167216,-0.2392741444614701,-0.04398482741007755,-0.04696638505541031,-0.056590873260867654,-0.0828746000852818,0.5790471196284626,0.06310155550058845,0.23927414747451514,0.0915176355608697,-0.27672343136358457,0.2686532093155908
decay_biphasic_ratio,0.033254991670906855,1.0,-0.010946033535257074,0.0648103304465206,-0.037810323957106366,-0.12590727920249498,0.06903947959955256,0.273372117323815,-0.03919080477093576,-0.03587146005359009,-0.034914060059034704,0.10520075999051783,-0.08947064155320636,-0.03160375989946682,-0.022536758624759606,-0.02229448106924644,0.0654592623281217,-0.019847192204641224,0.0030615582448462204,0.0006841928841893484,0.03160375814947358,0.0635132979866181,-0.04463647439577851,-0.027532436353879253
decay_curvature,-0.02824039993004614,-0.010946033535257074,1.0,-0.028089772615757038,-0.009926497403793564,-0.02570548843007986,0.01506710559640417,0.14165257271181494,0.02797871687587044,-0.019937615207519264,-0.023309222706748643,0.03374340272417739,0.033311299620371965,-0.005481198781998171,0.01742518260051348,0.01218847425310939,0.0681413964576971,0.027575901717068904,-0.03990405583749263,-0.03230417053331037,0.00548120459549918,-0.08307454606871631,0.009275385985930725,-0.02375919439236932
decay_kurtosis,0.04959645741052845,0.0648103304465206,-0.028089772615757038,1.0,0.05547676406195978,-0.2560497382048137,-0.07631063223330556,-0.09644459555937276,0.06745009392725035,0.18140795223428843,0.18581802426792957,-0.03904206920244723,0.04602452072818178,0.0020140746206691196,0.2045049275666603,0.21095373701304826,-0.007625645820588528,0.0251069942062551,0.0026081642504813107,-0.030317872653532064,-0.002014074798651085,-0.03335544425613899,-0.04086992986670284,-0.03326088772712829
decay_linearity,-0.06821966404911081,-0.037810323957106366,-0.009926497403793564,0.05547676406195978,1.0,0.46131163545405035,-0.9665068080308373,-0.07473504778485456,0.2882635585377753,-0.39040279479871476,-0.3937440561969318,-0.1715545587445032,0.0753591399756048,0.19796126295451016,-0.23521677951055955,-0.24650904514293914,-0.09863040618288592,0.019472632114303966,-0.11400282205189104,-0.12465803177347151,-0.1979612561032663,-0.030218480147831506,0.25860733084461757,-0.01750604640522218
decay_r2,-0.13170143503905266,-0.12590727920249498,-0.02570548843007986,-0.2560497382048137,0.46131163545405035,1.0,-0.47897674749350005,0.09855697879329954,-0.05325834056344235,-0.07492309490487524,-0.08688004863962875,0.004891533364125527,0.19754915699721545,0.1680634956430706,-0.06427224171064681,-0.07403753050974468,0.07780570588119125,0.06710119846966708,-0.1381790319321814,-0.09780967527145489,-0.16806348370492555,-0.010761104789629132,0.1825368828072903,0.019357429675166748
decay_residual_std,0.07071182094436922,0.06903947959955256,0.01506710559640417,-0.07631063223330556,-0.9665068080308373,-0.47897674749350005,1.0,0.10648020636079802,-0.24044463340643257,0.34873007671963785,0.3527707545650886,0.14800352461679944,-0.09094312405753052,-0.2024832219652654,0.22770184200991184,0.2378217467621169,0.08436088261597292,-0.057223318169930974,0.12827674327130745,0.13404313338085327,0.20248321480291648,0.05767692024330234,-0.24912137667692388,0.028038863264854923
decay_skew,-0.06977220371853786,0.273372117323815,0.14165257271181494,-0.09644459555937276,-0.07473504778485456,0.09855697879329954,0.10648020636079802,1.0,0.004764480268097331,0.052906690719169175,0.04036535450263492,0.23997757659452298,0.11123240486339278,0.07433019610787273,0.021037736956272524,0.013947180910032431,0.13236725347423892,0.03674947562122697,-0.09599838937270208,-0.09528330044120462,-0.07433019067743087,0.07022638563589179,0.04069808976378028,-0.06160164013233506
decay_tau,-0.11174742049663963,-0.03919080477093576,0.02797871687587044,0.06745009392725035,0.2882635585377753,-0.05325834056344235,-0.24044463340643257,0.004764480268097331,1.0,-0.026811373973402854,-0.029133020672678853,-0.02166431019673356,0.2922094010185318,0.13325446575621633,0.0810244275534319,0.0769517537552805,0.03737682778413082,0.08229658082095645,-0.1739619684222834,-0.14444904461389607,-0.1332544600170778,-0.040951749936943393,0.18752663696960295,-0.04442523512416029
dist_aai_sum,-0.13140311305348337,-0.03587146005359009,-0.019937615207519264,0.18140795223428843,-0.39040279479871476,-0.07492309490487524,0.34873007671963785,0.052906690719169175,-0.026811373973402854,1.0,0.997375326423719,0.10922292843001342,0.2468502849512936,-0.0500544613236698,0.696230464133919,0.7131321497775529,0.13152530018093755,0.055636421741854715,0.03376349245860769,0.131124835682781,0.050054464573944864,0.08482247283693418,-0.15654844371071472,-0.005661298783408625
dist_aai_trapz,-0.1273148942270893,-0.034914060059034704,-0.023309222706748643,0.18581802426792957,-0.3937440561969318,-0.08688004863962875,0.3527707545650886,0.04036535450263492,-0.029133020672678853,0.997375326423719,1.0,0.09341923395935517,0.22192319959266338,-0.05884831376322263,0.6999598151529274,0.7203841148606738,0.12344563753295928,0.04856619954383472,0.04295429307925167,0.14307864525260147,0.05884831672596237,0.09798268848529554,-0.16274901877733508,-0.00722797351729577
dist_skew,-0.049703258077284034,0.10520075999051783,0.03374340272417739,-0.03904206920244723,-0.1715545587445032,0.004891533364125527,0.14800352461679944,0.23997757659452298,-0.02166431019673356,0.10922292843001342,0.09341923395935517,1.0,0.21661145831442022,0.043163074416125984,0.026699235642871362,0.01908255803992075,0.38731777782038224,0.07568264579292014,-0.09053124919622153,-0.06484937308810505,-0.0431630729800901,-0.024514304250414447,-0.018299653645171696,-0.06434444821716692
distance,-0.31133442528167216,-0.08947064155320636,0.033311299620371965,0.04602452072818178,0.0753591399756048,0.19754915699721545,-0.09094312405753052,0.11123240486339278,0.2922094010185318,0.2468502849512936,0.22192319959266338,0.21661145831442022,1.0,0.5646433019129281,0.12835428109563904,0.11986054883440252,0.28108038205082064,0.45205526966455306,-0.5010686663109162,-0.5087050937421563,-0.5646432902991817,-0.2903616914640363,0.5518577574978942,-0.07314519073500424
dominance_score,-0.2392741444614701,-0.03160375989946682,-0.005481198781998171,0.0020140746206691196,0.19796126295451016,0.1680634956430706,-0.2024832219652654,0.07433019610787273,0.13325446575621633,-0.0500544613236698,-0.05884831376322263,0.043163074416125984,0.5646433019129281,1.0,-0.0016584716258761906,-0.008642139931349681,0.15189371978999397,0.5758765614447273,-0.6660810969104048,-0.7828526280568942,-0.9999999999999966,-0.2899724866884624,0.5824323193683403,-0.16384091486411465
iso_aai_sum,-0.04398482741007755,-0.022536758624759606,0.01742518260051348,0.2045049275666603,-0.23521677951055955,-0.06427224171064681,0.22770184200991184,0.021037736956272524,0.0810244275534319,0.696230464133919,0.6999598151529274,0.026699235642871362,0.12835428109563904,-0.0016584716258761906,1.0,0.9977265344719529,0.22966292917359427,0.1834538128066269,-0.01961295666258052,0.022044915533487402,0.001658473252099567,0.1538457296360045,-0.2714995515525577,0.016889025697544698
iso_aai_trapz,-0.04696638505541031,-0.02229448106924644,0.01218847425310939,0.21095373701304826,-0.24650904514293914,-0.07403753050974468,0.2378217467621169,0.013947180910032431,0.0769517537552805,0.7131321497775529,0.7203841148606738,0.01908255803992075,0.11986054883440252,-0.008642139931349681,0.9977265344719529,1.0,0.2155623025924661,0.16891129268021868,-0.015534975808249961,0.03181424389791119,0.008642141527164148,0.16203789455370554,-0.2714981013755857,0.014801225719309714
iso_skew,-0.056590873260867654,0.0654592623281217,0.0681413964576971,-0.007625645820588528,-0.09863040618288592,0.07780570588119125,0.08436088261597292,0.13236725347423892,0.03737682778413082,0.13152530018093755,0.12344563753295928,0.38731777782038224,0.28108038205082064,0.15189371978999397,0.22966292917359427,0.2155623025924661,1.0,0.22653648746747568,-0.17304442618170615,-0.17356608539527502,-0.1518937160563714,-0.05748467775566215,0.05979138384449763,-0.0168708395817324
isolation,-0.0828746000852818,-0.019847192204641224,0.027575901717068904,0.0251069942062551,0.019472632114303966,0.06710119846966708,-0.057223318169930974,0.03674947562122697,0.08229658082095645,0.055636421741854715,0.04856619954383472,0.07568264579292014,0.45205526966455306,0.5758765614447273,0.1834538128066269,0.16891129268021868,0.22653648746747568,1.0,-0.37916856596339354,-0.47079005496005255,-0.5758765533708227,-0.2510315061013888,0.4570414419666216,-0.1341402185326935
local_rank,0.5790471196284626,0.0030615582448462204,-0.03990405583749263,0.0026081642504813107,-0.11400282205189104,-0.1381790319321814,0.12827674327130745,-0.09599838937270208,-0.1739619684222834,0.03376349245860769,0.04295429307925167,-0.09053124919622153,-0.5010686663109162,-0.6660810969104048,-0.01961295666258052,-0.015534975808249961,-0.17304442618170615,-0.37916856596339354,1.0,0.7793248534752075,0.6660810942551383,0.33534868432470233,-0.4660828347899142,0.15884803798873812
local_rank_norm,0.06310155550058845,0.0006841928841893484,-0.03230417053331037,-0.030317872653532064,-0.12465803177347151,-0.09780967527145489,0.13404313338085327,-0.09528330044120462,-0.14444904461389607,0.131124835682781,0.14307864525260147,-0.06484937308810505,-0.5087050937421563,-0.7828526280568942,0.022044915533487402,0.03181424389791119,-0.17356608539527502,-0.47079005496005255,0.7793248534752075,1.0,0.78285262373557,0.35305386616534257,-0.4954952182706728,0.03897426096300121
prom_gap,0.23927414747451514,0.03160375814947358,0.00548120459549918,-0.002014074798651085,-0.1979612561032663,-0.16806348370492555,0.20248321480291648,-0.07433019067743087,-0.1332544600170778,0.050054464573944864,0.05884831672596237,-0.0431630729800901,-0.5646432902991817,-0.9999999999999966,0.001658473252099567,0.008642141527164148,-0.1518937160563714,-0.5758765533708227,0.6660810942551383,0.78285262373557,1.0,0.2899724831221049,-0.5824323035985324,0.16384091807059237
rise_slope,0.0915176355608697,0.0635132979866181,-0.08307454606871631,-0.03335544425613899,-0.030218480147831506,-0.010761104789629132,0.05767692024330234,0.07022638563589179,-0.040951749936943393,0.08482247283693418,0.09798268848529554,-0.024514304250414447,-0.2903616914640363,-0.2899724866884624,0.1538457296360045,0.16203789455370554,-0.05748467775566215,-0.2510315061013888,0.33534868432470233,0.35305386616534257,0.2899724831221049,1.0,-0.24335790383138595,0.08728871421351357
spike_prom,-0.27672343136358457,-0.04463647439577851,0.009275385985930725,-0.04086992986670284,0.25860733084461757,0.1825368828072903,-0.24912137667692388,0.04069808976378028,0.18752663696960295,-0.15654844371071472,-0.16274901877733508,-0.018299653645171696,0.5518577574978942,0.5824323193683403,-0.2714995515525577,-0.2714981013755857,0.05979138384449763,0.4570414419666216,-0.4660828347899142,-0.4954952182706728,-0.5824323035985324,-0.24335790383138595,1.0,-0.12767825049710463
time_to_parent,0.2686532093155908,-0.027532436353879253,-0.02375919439236932,-0.03326088772712829,-0.01750604640522218,0.019357429675166748,0.028038863264854923,-0.06160164013233506,-0.04442523512416029,-0.005661298783408625,-0.00722797351729577,-0.06434444821716692,-0.07314519073500424,-0.16384091486411465,0.016889025697544698,0.014801225719309714,-0.0168708395817324,-0.1341402185326935,0.15884803798873812,0.03897426096300121,0.16384091807059237,0.08728871421351357,-0.12767825049710463,1.0
