suite2p_path,roi_index,spike_prob_index,raw_f_index,feature,label
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,280,402,407.0,"[nan, -0.682118434190981, -1.4591343066156963]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,887,694,705.0,"[nan, -0.26753112806583657, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,503,244,252.0,"[nan, -0.1038421642481793, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1023,192,198.0,"[nan, -0.30601135361287085, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,148,571,580.0,"[nan, -0.38431609288141316, -0.6640583042589733]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-4 glass\suite2p\plane0,278,185,182.0,"[nan, 0.8430483331197455, -2.091830988471794]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,176,533,538.0,"[nan, -0.8437187935256261, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,957,449,448.0,"[nan, -0.8764474164385794, -1.4680683346575882]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,221,183,195.0,"[nan, 3.4914538990069195, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,633,204,209.0,"[nan, -0.03498591388261553, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1092,473,478.0,"[nan, 0.024399235331719418, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,458,53,67.0,"[nan, 0.511202341407652, -1.6446059044622852]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-4 glass\suite2p\plane0,106,337,351.0,"[nan, 0.7849141368031223, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,38,724,726.0,"[nan, -0.6086294684542481, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,166,359,362.0,"[nan, 1.6940822729185911, -1.0978430989630183]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,205,780,786.0,"[nan, -0.48721477136581337, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,60,503,513.0,"[nan, -0.576097910044359, -1.5179301508453693]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,264,324,336.0,"[nan, -0.5529630568552097, -0.5368961931066643]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,69,53,67.0,"[nan, -0.3195750780682855, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,1254,193,189.0,"[nan, -0.667109392553089, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,66,201,196.0,"[nan, 0.046179531953223836, -0.931255414628539]",0
