spike_key,video_id,roi_index,frame_index,cascade_peak_idx,prob_value,f_value,skew_contribution,spike_prob_value,max_second_derivative_raw,amplitude,relative_amplitude,rise_time,decay_time,fwhm,auc
04_2-1_0_90,2-1,0,90,87,0.2704081344435325,0.6751508116722107,0.002350884103007898,0.2704081344435325,0.17554450035095215,0.1419910490512848,0.26631988947042834,0.0,7.0,9.0,2.1841376423835754
04_2-1_0_157,2-1,0,157,153,0.3028315628766024,0.7370049357414246,0.005854283477076359,0.3028315628766024,0.22966086864471436,0.16793236136436462,0.29509832124346036,2.0,41.0,13.0,2.406743496656418
04_2-1_0_275,2-1,0,275,272,0.3263112187071975,0.532124936580658,0.006756718426345834,0.3263112187071975,0.33441975712776184,0.16212321817874908,0.4381688249421727,0.0,39.0,11.0,2.917791798710823
04_2-1_0_421,2-1,0,421,417,0.45881704465855666,0.4470910131931305,0.14372925967728345,0.45881704465855666,0.3914268910884857,0.3254215456545353,2.674636063080552,3.0,,13.0,8.139153089374304
04_2-1_0_582,2-1,0,582,577,0.43955772122213266,0.5401978492736816,0.09931261754882922,0.43955772122213266,0.15725764632225037,0.3596351221203804,1.9917461803456438,5.0,,15.0,6.91065227240324
04_2-1_0_653,2-1,0,653,651,0.17301174344110204,0.6158142685890198,0.010057128922872683,0.17301174344110204,0.1481163203716278,0.15322448313236237,0.3312318774637509,0.0,3.0,6.0,0.13829699158668518
04_2-1_0_734,2-1,0,734,730,0.40837424553021695,0.5764976739883423,0.0590717516838231,0.40837424553021695,0.27199482917785645,0.2925417870283127,1.030236739094237,2.0,,14.0,5.157775595784187
04_2-1_1_56,2-1,1,56,54,0.15742555854879453,0.9631803631782532,0.011574238943659493,0.15742555854879453,0.1757069230079651,0.12751704454421997,0.1525938038690726,0.0,1.0,6.0,-0.2168087661266327
04_2-1_1_158,2-1,1,158,153,0.3430149887536956,0.4419969618320465,0.055729121595745224,0.3430149887536956,0.22549688816070557,0.27725110203027725,1.6829017880259942,3.0,41.0,16.0,4.2930620685219765
04_2-1_1_232,2-1,1,232,227,0.294987397407785,0.3512677550315857,0.027379452100203896,0.294987397407785,0.14124950021505356,0.22945527359843254,1.8836762119844865,3.0,,17.0,4.181510226801038
04_2-1_1_270,2-1,1,270,266,0.34121401901609916,0.5929322242736816,0.2104914646836747,0.34121401901609916,0.17919933795928955,0.24577118456363678,0.7079457555747306,3.0,,12.0,3.7769448459148407
04_2-1_1_312,2-1,1,312,308,0.15065169438567416,0.7465083599090576,0.00913305371016667,0.15065169438567416,0.35581445693969727,0.03159400820732117,0.0441927178159409,0.0,1.0,4.0,-1.0890009701251984
04_2-1_1_356,2-1,1,356,351,0.2858683505433275,0.7008554935455322,0.022377723356882828,0.2858683505433275,0.223993718624115,0.122897207736969,0.2126402731038554,1.0,37.0,11.0,1.2586154341697693
04_2-1_1_407,2-1,1,407,403,0.19210148199797927,0.7603610754013062,0.007143018477282024,0.19210148199797927,0.34960243105888367,0.10028001666069031,0.15192076084112593,0.0,2.0,6.0,-0.6954651772975922
04_2-1_1_450,2-1,1,450,447,0.24323662883080494,0.6667025685310364,0.0029928805206947844,0.24323662883080494,0.2574930191040039,0.15821611881256104,0.3111511012735103,1.0,21.0,10.0,0.8833056688308716
04_2-1_1_477,2-1,1,477,473,0.2583209589790752,0.8437591195106506,0.0019645519204317128,0.2583209589790752,0.1992514729499817,0.2222881019115448,0.3576805605035259,1.0,4.0,7.0,2.2003051042556763
04_2-1_1_550,2-1,1,550,545,0.29560961076648873,0.6148257851600647,0.005110156882983768,0.29560961076648873,0.20664340257644653,0.28455935418605804,0.8616054418453871,3.0,,16.0,3.213736742734909
04_2-1_1_574,2-1,1,574,570,0.27529760268295506,0.7402216196060181,0.0035216499191370433,0.27529760268295506,0.17335811257362366,0.2008604109287262,0.3724042584028398,3.0,13.0,11.0,2.7814627289772034
04_2-1_1_624,2-1,1,624,619,0.13655280350936683,0.7148151993751526,0.012065467587371564,0.13655280350936683,0.17340689897537231,0.004639327526092529,0.006532645940241922,0.0,1.0,3.0,-0.5592314302921295
04_2-1_1_657,2-1,1,657,652,0.18451168157275605,0.7797868847846985,0.0006836703945651262,0.18451168157275605,0.2618206739425659,0.1531861424446106,0.24447169001512087,1.0,1.0,2.0,0.37595173716545105
04_2-1_1_692,2-1,1,692,688,0.24717542540643447,0.7150660157203674,0.006733012487972022,0.24717542540643447,0.17664039134979248,0.09803515672683716,0.1588820968966563,0.0,10.0,6.0,0.40634775161743164
04_2-1_1_714,2-1,1,714,717,0.1840008881202729,0.8047036528587341,0.004009929593997215,0.1840008881202729,0.18322348594665527,0.12779131531715393,0.18878561998333232,0.0,6.0,5.0,1.3725993037223816
04_2-1_1_752,2-1,1,752,749,0.1467309826026943,0.774837851524353,0.007683226475462166,0.1467309826026943,0.17547130584716797,0.010334372520446777,0.013517757347437752,0.0,2.0,2.0,-0.14255905151367188
04_2-1_1_806,2-1,1,806,801,0.25832392023366646,0.7293227910995483,0.00087982660744327,0.25832392023366646,0.2149313986301422,0.22090396285057068,0.434492097020435,1.0,13.0,8.0,0.8084825277328491
04_2-1_2_53,2-1,2,53,49,0.2714552211491068,0.6287802457809448,0.0069523396130072865,0.2714552211491068,0.1537381112575531,0.21956053376197815,0.5365345981959976,1.0,2.0,4.0,1.8930504620075226
04_2-1_2_84,2-1,2,84,79,0.2779180042193263,0.8696619272232056,0.03502127021338187,0.2779180042193263,0.41519081592559814,0.31272071599960327,0.5614968145606508,1.0,1.0,9.0,2.4431068003177643
04_2-1_2_125,2-1,2,125,121,0.1732214077919757,0.812760591506958,0.030923362659378933,0.1732214077919757,0.37010806798934937,0.21047130227088928,0.3494521752791698,0.0,1.0,5.0,-0.8633010536432266
04_2-1_2_165,2-1,2,165,165,0.2707031069901215,0.7551983594894409,0.01577596398608956,0.2707031069901215,0.5510029196739197,0.27280740439891815,0.5655317570117472,0.0,1.0,6.0,1.7557289749383926
04_2-1_2_232,2-1,2,232,229,0.15209119230249613,0.5982644557952881,0.001863486137084822,0.15209119230249613,0.4908881187438965,0.14114044606685638,0.30875745544563526,0.0,1.0,8.0,0.11191125214099884
04_2-1_2_295,2-1,2,295,290,0.2899813029466902,0.8305658102035522,0.05181423706637223,0.2899813029466902,0.48360587656497955,0.47319483757019043,1.3240998116980698,2.0,11.0,7.0,3.5194111987948418
04_2-1_2_345,2-1,2,345,342,0.23515377950846086,0.7080181837081909,0.007840973774630325,0.23515377950846086,0.2442907691001892,0.19543865323066711,0.3812845453438117,0.0,7.0,4.0,2.664444386959076
04_2-1_2_385,2-1,2,385,387,0.21645682169767122,0.6967355012893677,0.015471687201855698,0.21645682169767122,0.5826008915901184,0.08115118741989136,0.13182790008047218,0.0,2.0,1.0,-1.6474203169345856
04_2-1_2_491,2-1,2,491,487,0.37550057643624724,0.52277010679245,0.18173536824371994,0.37550057643624724,0.2582442909479141,0.27196459472179413,1.0843645040990066,4.0,44.0,10.0,5.1424695362802595
04_2-1_2_508,2-1,2,508,510,0.11881090997167087,0.6837435960769653,0.004677747268740637,0.11881090997167087,0.31317418813705444,0.22350651025772095,0.48563342056598613,0.0,1.0,10.0,3.9544827938079834
04_2-1_2_542,2-1,2,542,537,0.27323446642926263,0.8475369215011597,0.016649214884388433,0.27323446642926263,0.3991290330886841,0.2901918292045593,0.5206681340079495,0.0,1.0,6.0,0.95850770175457
04_2-1_2_606,2-1,2,606,601,0.08585123333128938,0.522078275680542,0.01128016120743213,0.08585123333128938,0.41595081984996796,0.1346883624792099,0.34768164551876296,0.0,1.0,2.0,-1.6147359535098076
