spike_key,label
0_28-68,-1
0_28-87,-1
0_28-110,-1
0_28-131,-1
0_28-153,-1
0_28-177,-1
0_28-206,-1
0_28-223,1
0_28-251,-1
0_28-266,-1
0_28-291,0
0_28-319,-1
0_28-351,-1
0_28-367,-1
0_28-379,-1
0_28-399,-1
0_28-421,-1
0_28-451,-1
0_28-469,-1
0_28-497,-1
0_28-539,-1
0_28-547,-1
0_28-579,-1
0_28-598,-1
0_28-612,-1
0_28-629,-1
0_28-649,-1
0_28-674,-1
0_28-688,-1
0_28-703,-1
0_28-738,-1
0_28-756,-1
0_28-791,-1
0_28-811,-1
0_28-850,-1
0_47-60,-1
0_47-85,-1
0_47-113,-1
0_47-127,-1
0_47-147,-1
0_47-176,-1
0_47-220,-1
0_47-240,-1
0_47-258,-1
0_47-286,-1
0_47-302,-1
0_47-345,-1
0_47-366,-1
0_47-394,-1
0_47-421,-1
0_47-445,-1
0_47-468,-1
0_47-507,-1
0_47-543,-1
0_47-568,-1
0_47-589,-1
0_47-623,-1
0_47-649,-1
0_47-674,-1
0_47-690,-1
0_47-724,-1
0_47-741,-1
0_47-765,-1
0_47-789,-1
0_47-805,-1
0_47-837,-1
0_68-62,-1
0_68-94,-1
0_68-129,-1
0_68-147,-1
0_68-175,-1
0_68-231,-1
0_68-248,-1
0_68-288,-1
0_68-329,-1
0_68-357,-1
0_68-382,-1
0_68-407,-1
0_68-431,0
0_68-451,-1
0_68-466,0
0_68-494,-1
0_68-507,-1
0_68-526,-1
0_68-548,-1
0_68-563,-1
0_68-578,-1
0_68-594,-1
0_68-613,-1
0_68-631,-1
0_68-652,-1
0_68-683,-1
0_68-702,-1
0_68-727,-1
0_68-765,-1
0_68-779,-1
0_68-800,-1
0_68-812,-1
0_68-833,-1
0_123-66,-1
0_123-97,-1
0_123-130,-1
0_123-160,-1
0_123-177,-1
0_123-195,-1
0_123-227,-1
0_123-248,-1
0_123-267,-1
0_123-281,-1
0_123-314,-1
0_123-361,-1
0_123-380,-1
0_123-396,-1
0_123-437,-1
0_123-466,-1
0_123-481,-1
0_123-504,-1
0_123-523,-1
0_123-538,-1
0_123-554,-1
0_123-583,-1
0_123-607,-1
0_123-627,-1
0_123-658,-1
0_123-701,-1
0_123-738,-1
0_123-758,-1
0_123-795,-1
0_123-830,0
0_130-74,-1
0_130-92,-1
0_130-134,-1
0_130-147,-1
0_130-165,-1
0_130-181,-1
0_130-212,-1
0_130-249,-1
0_130-264,-1
0_130-298,-1
0_130-314,-1
0_130-330,-1
0_130-346,-1
0_130-366,-1
0_130-390,-1
0_130-409,-1
0_130-431,-1
0_130-475,-1
0_130-508,-1
0_130-529,-1
0_130-545,0
0_130-564,-1
0_130-583,-1
0_130-618,-1
0_130-647,-1
0_130-683,-1
0_130-751,-1
0_130-787,-1
0_134-60,-1
0_134-86,-1
0_134-109,-1
0_134-138,-1
0_134-163,-1
0_134-187,-1
0_134-224,-1
0_134-242,-1
0_134-260,-1
0_134-299,-1
0_134-317,-1
0_134-360,-1
0_134-397,-1
0_134-408,-1
0_134-433,-1
0_134-448,-1
0_134-463,-1
0_134-487,-1
0_134-508,-1
0_134-519,-1
0_134-542,-1
0_134-576,-1
0_134-594,-1
0_134-608,-1
0_134-625,-1
0_134-638,-1
0_134-667,-1
0_134-689,-1
0_134-717,-1
0_134-739,-1
0_134-761,-1
0_134-776,-1
0_134-801,-1
0_134-818,-1
0_146-51,-1
0_146-81,-1
0_146-98,-1
0_146-132,-1
0_146-150,-1
0_146-175,-1
0_146-196,-1
0_146-218,-1
0_146-233,-1
0_146-253,-1
0_146-276,-1
0_146-295,-1
0_146-310,-1
0_146-322,-1
0_146-358,-1
0_146-375,-1
0_146-396,-1
0_146-418,1
0_146-444,-1
0_146-457,-1
0_146-487,-1
0_146-512,-1
0_146-536,-1
0_146-554,-1
