spike_key,label
01_2-4_131_59,0
02_2-3_362_40,0
02_2-3_432_217,1
02_2-2_191_648,1
01_2-3_499_809,1
03_2-1_308_471,0
01_2-1_408_52,1
02_2-3_686_595,0
02_2-2_48_784,0
01_2-1_119_433,1
02_2-3_73_540,0
02_2-1_164_822,0
03_2-1_491_275,1
02_2-3_713_621,1
02_2-2_280_720,0
02_2-1_495_280,0
02_2-3_1445_223,1
02_2-4_84_268,0
01_2-3_327_100,1
02_2-2_121_459,0
02_2-3_982_599,1
02_2-1_535_203,0
02_2-1_398_583,1
02_2-1_292_460,0
03_2-1_462_83,0
02_2-4_147_412,0
03_2-1_698_851,1
02_2-1_393_88,0
01_2-4_184_860,0
03_2-2_395_216,1
02_2-3_865_324,1
03_2-1_774_323,0
02_2-1_585_100,0
02_2-3_1224_426,0
02_2-1_501_781,1
03_2-2_497_451,0
02_2-1_510_451,1
02_2-3_685_586,0
02_2-2_487_153,1
02_2-2_525_767,0
01_2-3_336_514,0
01_2-1_87_589,0
03_2-2_416_258,0
02_2-4_449_568,0
02_2-4_335_460,1
03_2-2_1510_283,0
01_2-1_403_368,0
01_2-3_530_659,1
03_2-1_1475_223,0
02_2-3_308_855,0
02_2-3_29_667,0
02_2-2_484_76,0
02_2-3_884_218,0
02_2-2_310_101,0
03_2-1_734_821,1
03_2-2_544_798,0
02_2-3_122_401,1
03_2-1_365_494,0
03_2-2_416_137,0
02_2-1_446_402,1
03_2-2_989_702,0
01_2-3_139_406,0
02_2-3_1247_731,1
01_2-1_261_752,0
02_2-1_60_652,0
02_2-4_179_453,0
01_2-2_125_684,0
01_2-4_227_313,1
02_2-1_46_749,0
02_2-1_568_451,1
02_2-1_450_124,1
01_2-3_158_327,0
02_2-1_260_649,1
02_2-4_7_702,0
02_2-4_471_473,1
02_2-3_432_794,1
01_2-1_267_727,1
01_2-2_193_425,1
01_2-3_146_440,1
03_2-2_1026_113,0
03_2-2_461_298,1
02_2-2_213_617,0
01_2-3_123_778,0
03_2-1_927_430,0
03_2-2_1861_76,0
02_2-1_87_470,0
02_2-1_293_705,0
01_2-3_168_584,0
03_2-1_1431_605,0
02_2-3_1203_779,0
02_2-1_54_323,0
03_2-2_461_180,0
02_2-3_457_235,0
02_2-3_1092_443,1
01_2-1_102_387,0
03_2-1_963_39,0
02_2-2_590_707,1
02_2-3_772_634,1
03_2-1_521_341,1
01_2-3_409_241,0
01_2-3_236_359,1
02_2-2_451_289,1
01_2-1_282_565,1
02_2-2_236_87,0
02_2-2_450_643,0
01_2-1_408_800,0
03_2-1_981_525,1
02_2-4_380_483,0
01_2-3_355_231,1
02_2-2_313_410,1
03_2-2_1089_742,0
01_2-1_78_790,0
03_2-2_557_73,1
02_2-3_23_666,1
02_2-4_511_134,0
02_2-2_455_392,1
03_2-2_104_137,0
03_2-1_1456_833,0
02_2-1_471_472,0
02_2-1_142_415,1
03_2-1_812_624,1
02_2-3_890_154,1
02_2-3_1574_615,1
01_1-2_829_702,0
01_2-2_32_615,0
01_2-3_285_311,0
01_1-3_976_97,0
02_2-3_514_265,1
01_2-3_328_125,0
02_2-3_203_511,1
02_2-3_628_214,0
03_2-2_235_208,0
01_1-3_3_103,1
02_2-3_1077_232,0
02_2-1_7_850,0
02_2-1_393_148,1
02_2-3_686_327,0
02_2-2_486_593,1
01_2-1_39_298,1
03_2-1_1526_577,1
01_2-1_369_858,1
02_2-3_1262_504,0
02_2-1_246_525,1
02_2-3_134_212,1
01_2-2_164_456,1
01_1-3_923_154,0
02_2-3_1576_237,1
02_2-3_1570_96,1
02_2-3_693_296,0
02_2-1_177_602,0
03_2-2_113_371,0
02_2-4_53_43,1
02_2-3_432_93,1
03_2-2_94_677,0
02_2-3_1340_96,0
03_2-1_1362_767,1
02_2-3_338_307,1
01_2-3_320_272,0
02_2-3_567_591,0
02_2-3_87_545,1
02_2-3_1031_121,1
03_2-1_1250_611,1
02_2-4_140_723,0
01_2-1_319_662,1
02_2-3_1407_811,0
02_2-3_932_162,0
02_2-3_222_749,0
02_2-3_633_482,1
02_2-3_1256_687,0
01_2-3_96_411,0
02_2-3_351_79,1
01_2-2_211_164,1
01_2-2_106_49,1
02_2-1_87_763,0
01_2-1_174_757,0
03_2-1_963_559,0
02_2-3_479_77,0
01_2-4_239_534,0
02_2-1_129_204,1
01_2-3_312_381,0
02_2-3_292_242,0
01_1-1_357_858,0
03_2-1_174_600,0
02_2-1_255_489,1
02_2-4_362_827,0
03_2-1_747_379,0
03_2-1_62_466,0
02_2-1_292_692,0
02_2-3_1151_631,0
03_2-1_966_550,0
03_2-2_36_638,0
02_2-2_381_741,0
02_2-3_362_264,1
02_2-3_1122_406,1
02_2-3_1322_780,0
03_2-2_186_819,1
01_2-2_164_173,0
02_2-4_1032_169,0
03_2-2_416_721,0
03_2-1_1374_693,0
02_2-1_172_859,0
01_2-3_409_229,0
01_2-3_409_782,0
02_2-1_337_562,1
01_2-1_310_515,0
02_2-2_346_845,0
02_2-4_180_39,0
03_2-2_557_236,0
02_2-2_568_527,1
02_2-4_825_211,0
03_2-1_909_817,0
02_2-1_497_526,1
01_2-3_166_471,1
01_2-2_113_143,0
02_2-3_457_694,0
02_2-3_432_682,1
02_2-1_348_567,1
02_2-1_232_757,0
01_2-1_78_859,1
02_2-3_1248_266,1
01_2-3_370_639,1
02_2-2_406_746,1
01_2-3_500_116,1
02_2-2_264_716,0
03_2-1_880_241,0
02_2-3_1402_780,1
03_2-1_269_290,0
01_2-3_221_312,1
02_2-2_590_310,0
01_2-4_165_648,0
03_2-1_379_696,0
02_2-1_269_735,1
02_2-1_355_843,1
02_2-1_291_300,1
01_2-4_239_289,0
01_2-1_313_527,1
02_2-3_44_225,0
01_2-4_30_256,0
02_2-3_633_99,0
01_2-2_106_715,1
03_2-2_989_108,0
01_2-1_290_239,1
02_2-1_354_675,1
01_2-4_230_170,0
02_2-1_378_582,1
02_2-3_1611_821,1
02_2-2_290_381,0
01_2-3_572_496,0
01_2-1_211_371,0
02_2-4_463_646,1
01_2-4_192_237,1
01_2-4_227_713,1
02_2-3_865_822,1
02_2-1_51_430,1
03_2-1_546_649,0
02_2-1_511_564,1
03_2-2_94_446,1
01_2-4_167_217,0
01_2-1_186_204,0
02_2-1_356_49,1
02_2-3_1203_721,1
01_2-2_211_431,1
02_2-1_249_270,0
03_2-2_59_321,0
03_2-1_1250_179,1
02_2-3_151_676,1
02_2-1_131_445,1
03_2-2_99_194,0
01_2-4_266_839,1
01_2-2_137_504,1
01_2-4_120_160,0
02_2-3_1197_803,0
01_2-L_14_417,0
01_2-4_221_232,1
03_2-1_604_751,0
03_2-1_163_515,0
01_2-4_239_147,0
02_2-1_281_352,1
02_2-2_221_292,0
02_2-3_772_515,1
01_2-1_349_661,0
01_2-3_355_355,1
02_2-1_113_691,1
02_2-3_244_493,0
02_2-3_44_304,0
01_2-L_41_503,0
03_2-1_310_149,1
02_2-3_480_565,1
01_2-L_84_693,0
01_2-3_448_169,0
02_2-2_650_324,0
02_2-2_313_525,0
02_2-2_396_433,0
01_2-3_158_235,0
01_2-3_443_344,0
02_2-4_696_208,0
02_2-2_502_384,0
02_2-1_254_368,0
02_2-3_887_487,1
03_2-1_1250_537,1
02_2-3_151_432,0
01_2-4_118_531,1
01_2-3_482_484,1
02_2-3_910_640,0
01_2-3_152_271,0
02_2-4_837_683,1
01_2-3_259_249,0
02_2-3_139_691,0
01_2-1_337_613,0
01_2-4_266_89,0
02_2-1_300_359,0
01_1-3_633_452,1
02_2-3_1023_792,1
01_2-4_87_92,1
02_2-3_1611_766,0
01_2-3_532_332,1
03_2-2_94_220,0
01_2-4_107_296,1
02_2-2_313_584,1
01_2-1_196_764,0
03_2-2_1026_225,0
02_2-3_471_462,0
02_2-3_1096_649,0
01_1-3_205_160,0
02_2-3_184_88,1
02_2-3_91_186,1
01_2-3_91_856,0
03_2-1_323_166,0
02_2-3_513_467,1
01_2-4_140_369,0
03_2-1_1475_850,1
03_2-1_812_81,0
03_2-1_305_144,1
02_2-4_26_238,0
01_2-3_409_97,1
02_2-3_1574_639,0
02_2-3_276_298,1
01_2-2_144_563,1
02_2-3_1042_561,0
01_2-2_125_582,0
01_2-3_532_455,1
02_2-3_1445_443,0
01_2-3_312_444,1
02_2-4_463_625,0
01_2-1_279_691,0
02_2-1_550_641,1
02_2-1_332_633,1
03_2-2_1254_785,0
02_2-4_199_96,0
02_2-1_484_806,1
01_2-1_304_626,0
02_2-1_177_505,0
01_2-4_201_83,1
02_2-4_1003_849,0
02_2-1_423_429,1
02_2-4_654_366,0
02_2-1_377_372,0
01_2-1_321_255,1
01_2-2_32_190,1
01_2-3_329_468,1
02_2-1_337_241,1
01_2-3_84_87,1
01_2-1_68_259,1
02_2-1_289_527,0
02_2-3_533_791,1
02_2-3_92_259,0
01_1-2_62_56,0
02_2-2_325_827,1
01_2-2_144_581,0
02_2-3_362_386,0
02_2-2_59_580,0
01_1-3_119_111,0
02_2-1_432_757,0
03_2-2_1353_216,0
02_2-2_168_487,0
02_2-1_486_556,0
02_2-2_354_717,0
02_2-1_426_498,0
01_2-4_227_403,1
03_2-1_708_754,0
02_2-3_1109_218,0
02_2-1_524_394,1
02_2-1_177_58,1
02_2-4_378_507,0
03_2-1_281_569,0
02_2-3_620_860,0
02_2-3_923_354,1
01_2-3_123_192,0
02_2-1_497_158,1
02_2-3_458_343,1
02_2-1_547_742,1
02_2-2_450_98,1
02_2-3_784_53,0
01_2-4_52_551,0
01_2-L_84_317,1
01_2-1_170_858,1
02_2-2_750_200,1
01_2-1_319_429,0
03_2-1_908_609,0
01_2-1_230_54,0
