spike_key,label
0_201-13,-1
0_201-24,-1
0_201-39,0
0_201-61,-1
0_201-84,-1
0_201-100,-1
0_201-132,-1
0_201-145,-1
0_201-179,-1
0_201-215,-1
0_201-235,-1
0_201-245,-1
0_201-269,-1
0_201-307,-1
0_201-319,-1
0_201-339,-1
0_201-356,-1
0_201-387,-1
0_201-426,-1
0_201-462,-1
0_201-486,0
0_201-530,-1
0_201-547,-1
0_201-566,-1
0_201-581,-1
0_201-598,-1
0_201-617,-1
0_201-633,-1
0_201-658,-1
0_201-707,-1
0_201-720,-1
0_201-746,-1
0_201-777,-1
0_201-794,-1
0_201-811,1
0_201-833,-1
0_201-858,-1
0_201-875,-1
0_569-18,-1
0_569-41,-1
0_569-59,-1
0_569-89,-1
0_569-108,-1
0_569-129,-1
0_569-144,-1
0_569-155,-1
0_569-180,-1
0_569-204,-1
0_569-228,-1
0_569-242,-1
0_569-281,-1
0_569-305,-1
0_569-329,-1
0_569-355,-1
0_569-392,-1
0_569-410,-1
0_569-436,-1
0_569-459,-1
0_569-485,-1
0_569-493,-1
0_569-508,-1
0_569-532,-1
0_569-549,-1
0_569-568,-1
0_569-596,-1
0_569-611,-1
0_569-638,-1
0_569-669,-1
0_569-684,-1
0_569-702,-1
0_569-723,-1
0_569-738,-1
0_569-767,-1
0_569-788,-1
0_569-814,-1
0_569-831,-1
0_569-844,-1
0_569-865,-1
0_569-893,-1
0_628-3,-1
0_628-23,-1
0_628-56,-1
0_628-92,-1
0_628-106,-1
0_628-136,-1
0_628-145,-1
0_628-181,-1
0_628-221,-1
0_628-236,-1
0_628-251,-1
0_628-272,-1
0_628-293,-1
0_628-316,-1
0_628-332,0
0_628-354,-1
0_628-375,-1
0_628-387,-1
0_628-420,-1
0_628-441,-1
0_628-467,-1
0_628-511,-1
0_628-540,-1
0_628-566,-1
0_628-574,-1
0_628-593,-1
0_628-608,-1
0_628-640,-1
0_628-685,0
0_628-713,0
0_628-739,-1
0_628-752,-1
0_628-774,-1
0_628-803,-1
0_628-814,-1
0_628-834,-1
0_628-870,-1
0_661-22,1
0_661-34,-1
0_661-51,-1
0_661-86,-1
0_661-101,-1
0_661-113,-1
0_661-135,-1
0_661-151,-1
0_661-161,-1
0_661-179,-1
0_661-186,-1
0_661-216,-1
0_661-238,-1
0_661-267,-1
0_661-284,-1
0_661-317,-1
0_661-335,-1
0_661-376,-1
0_661-421,-1
0_661-445,-1
0_661-465,-1
0_661-481,-1
0_661-514,-1
0_661-532,-1
0_661-550,0
0_661-573,0
0_661-599,-1
0_661-620,-1
0_661-646,-1
0_661-660,0
0_661-689,-1
0_661-716,-1
0_661-728,-1
0_661-741,-1
0_661-771,-1
0_661-795,-1
0_661-817,-1
0_661-860,-1
0_661-872,-1
0_810-18,-1
0_810-35,-1
0_810-48,-1
0_810-75,-1
0_810-111,-1
0_810-131,-1
0_810-139,-1
0_810-177,-1
0_810-197,-1
0_810-211,-1
0_810-223,-1
0_810-237,-1
0_810-271,-1
0_810-289,-1
0_810-335,-1
0_810-353,-1
0_810-364,-1
0_810-386,-1
0_810-399,-1
0_810-421,-1
0_810-428,-1
0_810-441,-1
0_810-453,0
0_810-469,-1
0_810-479,-1
0_810-505,-1
0_810-520,-1
0_810-538,-1
0_810-564,-1
0_810-590,-1
0_810-604,-1
0_810-647,0
0_810-656,-1
0_810-678,-1
0_810-713,-1
0_810-736,0
0_810-749,0
0_810-775,-1
0_810-789,-1
0_810-806,-1
0_810-821,-1
0_810-847,-1
0_810-866,-1
0_810-885,-1
1_110-22,-1
1_110-38,-1
1_110-71,-1
1_110-88,-1
1_110-106,-1
1_110-130,-1
1_110-151,-1
1_110-181,0
1_110-198,-1
1_110-220,-1
1_110-254,-1
1_110-300,-1
1_110-315,-1
1_110-390,-1
1_110-402,-1
1_110-439,-1
1_110-452,-1
1_110-482,-1
1_110-495,-1
1_110-508,-1
1_110-514,-1
1_110-531,-1
1_110-540,-1
1_110-559,-1
1_110-612,-1
1_110-653,-1
1_110-682,-1
1_110-692,-1
1_110-707,-1
1_110-739,1
1_110-784,-1
1_110-834,-1
1_110-882,-1
1_130-14,-1
1_130-27,-1
1_130-56,-1
1_130-124,-1
1_130-137,0
1_130-170,-1
1_130-186,-1
1_130-264,1
1_130-296,-1
1_130-318,-1
1_130-350,-1
1_130-371,-1
1_130-394,-1
1_130-408,-1
1_130-430,-1
1_130-463,-1
1_130-492,1
1_130-512,-1
1_130-546,-1
1_130-562,-1
1_130-598,-1
1_130-647,-1
